N_candidat	S1	S2	S3	S4	S5	Logique	BDD	PS	Moyenne	Eligible	Decision
36	12.62	10.002	12.4202	7.6781	14.5074	7.543	12.1707	8.2795	12.393960000000002	False	R
37	13.5727	10.9285	12.728	11.232	12.3404	12.2949	11.0818	11.5931	12.459520000000001	True	L
38	12.2088	9.5057	9.2005	10.1495	17.6772	6.744	9.823	12.0895	11.558539999999999	False	R
39	12.5982	12.0452	12.7417	10.4756	13.4242	11.6103	9.2736	9.9307	12.7102	False	R
40	11.7523	10.8256	10.1897	11.6153	17.3997	8.4459	6.6099	9.6239	12.0714	False	R
41	11.3605	9.1508	10.7299	9.1541	13.8481	12.8252	11.3493	8.6843	11.16384	False	R
42	12.424	9.2416	11.8149	9.6215	12.7496	10.6756	10.4714	10.7031	11.609	False	R
43	12.8449	9.2482	11.4324	10.5084	10.7416	16.0769	9.1419	7.9346	11.139899999999999	False	R
44	13.3789	10.1359	11.861	10.1667	13.1534	9.1757	6.2744	7.5175	12.07804	False	R
45	13.8709	8.2455	10.8861	9.9037	15.9765	2.554	8.9535	9.2346	11.97302	False	R
46	14.0285	9.48	10.7338	11.0956	14.8711	13.9094	7.8655	8.6829	11.96944	False	R
47	11.1132	10.5481	9.9397	9.7167	15.2471	14.6247	6.9565	10.225	11.357560000000001	False	R
48	11.6443	11.6455	10.5019	10.5489	10.6444	11.3273	8.6551	7.743	10.987599999999999	False	R
49	14.9754	12.0654	12.2774	13.0834	15.7671	11.6342	7.3653	10.9063	13.47254	False	R
50	11.9413	10.0646	12.6012	10.2213	16.0609	12.4397	9.7845	7.798	12.653839999999999	False	R
51	13.4403	10.6161	10.9294	11.3687	13.312	6.0711	10.8446	9.3721	11.84544	False	R
52	11.6751	9.6062	10.6861	11.9547	13.6874	9.0162	10.1335	9.0894	11.268180000000001	False	R
53	13.8983	8.8792	11.9342	11.9933	11.5112	8.9151	10.3652	9.9276	11.631420000000002	False	R
54	12.2491	9.3744	11.3238	12.2203	14.8825	7.863	8.2386	6.4783	11.830720000000001	False	R
55	14.3103	9.0775	11.2612	9.7157	12.7509	10.0115	11.3385	6.7251	11.732220000000002	False	R
56	11.9438	7.8039	12.0104	10.6009	10.9904	15.1019	8.2119	6.593	10.951780000000001	False	R
57	17.2234	11.092	10.017	9.3974	10.9075	10.3632	12.5846	11.3407	11.85138	False	R
58	12.8316	9.2336	9.0084	11.688	13.1894	14.663	8.5244	6.6572	10.654279999999998	False	R
59	14.8139	8.3324	9.7927	11.1453	17.1561	11.2968	8.7798	10.2056	11.97756	False	R
60	12.2001	6.9485	11.7769	11.4147	12.5898	12.6166	9.6764	7.729	11.05844	False	R
61	13.834	9.0946	9.5262	9.9445	15.704	14.9503	9.622	8.9955	11.536999999999999	False	R
62	11.0952	13.0306	11.3513	9.911	19.843	12.3357	10.9779	6.6761	13.334280000000001	False	R
63	12.369	6.9317	9.7115	9.1874	17.4087	10.0543	8.7447	8.8755	11.226479999999999	False	R
64	11.0795	8.2555	10.6237	10.9934	10.9507	12.3968	9.3511	10.2386	10.306619999999999	False	R
65	12.4823	7.7281	7.9882	11.025	10.5268	9.0115	11.3488	11.4496	9.34272	False	R
66	13.8429	10.283	11.1724	10.9187	15.1259	14.9261	8.7691	11.6177	12.319320000000001	False	R
67	11.5471	9.3545	9.724	13.1059	14.2366	14.1717	9.9136	6.6809	10.917240000000001	False	R
68	12.5454	10.8937	12.6458	9.2265	14.7243	14.89	8.7646	5.0099	12.690999999999999	False	R
69	12.3132	11.3285	13.9303	10.6544	11.4034	8.4033	8.3571	8.8078	12.581140000000001	False	R
70	12.8579	10.9786	10.8874	10.5832	16.0402	11.3763	9.5341	4.7765	12.3303	False	R
71	14.1208	9.3111	10.646	11.7809	11.5606	6.4773	9.9123	9.3979	11.2569	False	R
72	11.0127	7.9103	10.563	12.5928	12.2893	4.153	6.9975	11.1888	10.46766	False	R
73	14.8	9.3824	11.3394	12.1462	12.6825	8.3447	10.287	8.489	11.908739999999998	False	R
74	14.6554	9.9204	12.5403	8.1604	14.6544	6.6282	7.6583	8.5165	12.86216	False	R
75	12.8043	8.5893	12.2143	12.1125	15.5008	10.4037	8.4681	7.8657	12.264599999999998	False	R
76	12.6675	8.9704	11.7413	11.3426	15.1884	10.5853	10.9797	6.043	12.061780000000002	False	R
77	12.665	9.0086	9.9069	10.6478	11.727	11.4042	7.0122	11.7928	10.64288	False	R
78	9.0218	8.391	11.5657	11.042	12.7301	10.4601	11.771	10.2663	10.654860000000001	False	R
79	15.2564	12.8307	10.2302	10.4756	14.1076	13.2197	11.1089	12.964	12.53102	True	L
80	12.9155	9.8655	11.4125	9.8014	13.9144	12.6252	6.6409	10.8635	11.904079999999999	False	R
81	11.6321	7.5677	10.5878	10.6703	11.7948	11.5282	11.9398	8.5741	10.43404	False	R
82	10.0045	10.3045	11.5089	11.749	11.7207	10.9881	9.2824	10.1321	11.009500000000001	False	R
83	11.0872	11.266	12.0047	9.1237	18.1483	10.1309	6.6457	9.0242	12.902179999999998	False	R
84	12.1606	9.6129	10.2572	10.0462	16.5439	12.8078	10.5089	7.3059	11.766359999999999	False	R
85	13.8044	8.4277	11.8091	13.4368	13.0001	8.8458	7.5913	11.2004	11.770080000000002	False	R
86	11.484	11.4746	12.7054	12.3292	13.8026	11.5594	8.1253	9.7291	12.4344	False	R
87	9.5444	7.9075	13.381	12.1351	12.9168	14.6858	8.845	9.4305	11.42614	False	R
88	12.2078	10.0856	11.626	11.1678	9.122	9.3581	10.791	10.7572	10.93348	False	R
89	15.554	11.0263	12.2988	9.1333	13.8147	5.6252	11.1073	10.4425	12.99852	False	R
90	17.0138	10.7995	10.2201	12.0129	12.5989	3.6991	12.7927	7.8044	12.170480000000001	False	R
91	12.3472	10.9761	10.7085	10.3606	15.1311	12.1083	9.0475	8.2648	11.974280000000002	False	R
92	12.902	9.6462	10.8287	11.7588	13.8491	7.397	11.1876	8.7541	11.610940000000001	False	R
93	12.3238	8.7864	11.8458	10.6915	12.8332	11.6001	8.2969	9.1285	11.527	False	R
94	11.166	9.3855	10.4641	10.7764	17.0545	9.9915	9.6047	7.4819	11.70684	False	R
95	12.4583	7.3515	9.4859	11.8067	13.4084	14.3265	8.3256	8.4134	10.437999999999999	False	R
96	13.3641	12.1074	11.1748	11.3949	10.1441	4.8189	8.4519	10.2918	11.59304	False	R
97	16.1169	9.7965	9.5595	10.9371	13.2612	7.2478	6.0559	10.6064	11.65872	False	R
98	13.6526	5.8339	11.4225	12.0907	10.5158	8.3002	9.1476	7.9115	10.56946	False	R
99	12.8797	9.8281	10.3989	9.0564	12.6396	6.8243	9.32	8.8179	11.229040000000001	False	R
